review_id,claim_id,review_round,review_datetime,reviewer_id,review_type,auto_risk_score,triage_result,reviewer_notes,perito_id,perito_physical_inspection,damage_consistency_rating,documentation_completeness_pct,recommended_action,days_since_claim
REV_00022_1,CLM_00022,1,2022-09-14 10:46:00,R-2812,Initial Triage,59.3,Red - Full Investigation,"Documentation complete, no issues detected.",,,,,Full Investigation,5
REV_00022_2,CLM_00022,2,2022-09-21 18:46:00,R-2812,Expert Assessment,,,Physical inspection consistent with reported damage.,P-6700,No,4.6,64.9,Approve with Conditions,12
REV_00023_1,CLM_00023,1,2025-08-27 01:42:00,R-2812,Initial Triage,5.4,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,1
REV_00024_1,CLM_00024,1,2024-01-16 23:32:00,R-8100,Initial Triage,38.4,Yellow - Standard Review,"Standard claim, within normal parameters.",,,,,Standard Review,2
REV_00024_2,CLM_00024,2,2024-02-15 13:32:00,R-8100,Expert Assessment,,,Verified damage with independent assessment.,P-6360,Yes,5.0,100.0,Approve,31
REV_00025_1,CLM_00025,1,2023-06-22 02:37:00,R-6143,Initial Triage,23.7,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,6
REV_00026_1,CLM_00026,1,2023-12-14 09:19:00,R-1744,Initial Triage,3.1,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_00027_1,CLM_00027,1,2023-03-31 09:14:00,R-8019,Initial Triage,8.6,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_00028_1,CLM_00028,1,2023-04-29 15:20:00,R-8404,Initial Triage,33.4,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_00029_1,CLM_00029,1,2025-05-15 09:43:00,R-2207,Initial Triage,12.2,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_00030_1,CLM_00030,1,2022-08-12 22:04:00,R-7001,Initial Triage,30.9,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_00031_1,CLM_00031,1,2025-01-24 21:11:00,R-4219,Initial Triage,24.7,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,3
REV_00032_1,CLM_00032,1,2025-03-22 04:34:00,R-8044,Initial Triage,14.7,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,3
REV_00033_1,CLM_00033,1,2023-09-14 20:25:00,R-8592,Initial Triage,27.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,2
REV_00033_2,CLM_00033,2,2023-09-21 12:25:00,R-8592,Expert Assessment,,,Verified damage with independent assessment.,P-3597,No,4.3,88.2,Request Additional Documentation,8
REV_00034_1,CLM_00034,1,2024-04-13 16:18:00,R-6221,Initial Triage,27.5,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,3
REV_00035_1,CLM_00035,1,2022-02-10 00:50:00,R-2887,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_00035_2,CLM_00035,2,2022-02-15 16:50:00,R-2887,Expert Assessment,,,Documentation supports claim as reported.,P-6516,No,3.5,74.6,Request Additional Documentation,7
REV_00037_1,CLM_00037,1,2024-02-15 20:37:00,R-8461,Initial Triage,39.9,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,2
REV_00037_2,CLM_00037,2,2024-02-23 10:37:00,R-8461,Expert Assessment,,,Documentation supports claim as reported.,P-1837,No,4.5,71.6,Request Additional Documentation,9
REV_00038_1,CLM_00038,1,2025-04-19 08:06:00,R-7520,Initial Triage,0.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_00040_1,CLM_00040,1,2025-12-02 10:14:00,R-6545,Initial Triage,31.4,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,6
REV_00040_2,CLM_00040,2,2025-12-08 22:14:00,R-6545,Expert Assessment,,,All repair items match incident description.,P-1135,No,4.2,85.9,Approve with Conditions,12
REV_00042_1,CLM_00042,1,2025-06-10 14:01:00,R-9758,Initial Triage,93.5,Red - Full Investigation,"Verified with third party, consistent account.",,,,,Full Investigation,2
REV_00042_2,CLM_00042,2,2025-06-12 01:01:00,R-9758,Expert Assessment,,,Documentation supports claim as reported.,P-9806,No,4.1,74.8,Refer to Special Investigations Unit,3
REV_00042_3,CLM_00042,3,2025-06-28 16:01:00,SIU-952,SIU Investigation,,,Claim history pattern analysis completed.,P-9806,Yes,,,Claim Approved,19
REV_00043_1,CLM_00043,1,2023-11-10 04:52:00,R-8404,Initial Triage,0.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,3
REV_00044_1,CLM_00044,1,2024-11-28 17:59:00,R-8461,Initial Triage,54.9,Yellow - Standard Review,"Standard claim, within normal parameters.",,,,,Standard Review,6
REV_00044_2,CLM_00044,2,2024-12-08 09:59:00,R-8461,Expert Assessment,,,All repair items match incident description.,P-4275,Yes,1.8,73.8,Recommend Denial,15
REV_00044_3,CLM_00044,3,2024-12-13 22:59:00,SIU-795,SIU Investigation,,,Cross-referenced with external fraud database.,P-4275,Yes,,,Claim Approved,20
REV_00047_1,CLM_00047,1,2023-03-30 10:35:00,R-9461,Initial Triage,0.0,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_00048_1,CLM_00048,1,2024-06-20 13:00:00,R-4718,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_00050_1,CLM_00050,1,2022-09-21 01:59:00,R-9461,Initial Triage,37.9,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,4
REV_00050_2,CLM_00050,2,2022-09-27 13:59:00,R-9461,Expert Assessment,,,Physical inspection consistent with reported damage.,P-7114,No,3.9,81.5,Approve,10
REV_00051_1,CLM_00051,1,2022-10-08 08:02:00,R-1276,Initial Triage,52.4,Orange - Escalated Review,"Standard claim, within normal parameters.",,,,,Escalated Review,3
REV_00051_2,CLM_00051,2,2022-10-11 23:02:00,R-1276,Expert Assessment,,,All repair items match incident description.,P-7266,No,3.3,85.2,Recommend Denial,6
REV_00051_3,CLM_00051,3,2022-10-29 15:02:00,SIU-919,SIU Investigation,,,Medical records review completed where applicable.,P-7266,Yes,,,Claim Settled at Reduced Amount,23
REV_00052_1,CLM_00052,1,2024-06-04 00:39:00,R-8019,Initial Triage,43.4,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,1
REV_00052_2,CLM_00052,2,2024-06-09 13:39:00,R-8019,Expert Assessment,,,No anomalies found during review.,P-5972,No,2.0,80.8,Request Additional Documentation,6
REV_00053_1,CLM_00053,1,2023-09-09 22:42:00,R-2207,Initial Triage,15.9,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
REV_00054_1,CLM_00054,1,2024-05-09 22:00:00,R-8100,Initial Triage,19.4,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,3
REV_00056_1,CLM_00056,1,2022-07-21 05:07:00,R-8404,Initial Triage,29.2,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,2
REV_00057_1,CLM_00057,1,2022-10-09 04:37:00,R-2207,Initial Triage,58.9,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,6
REV_00057_2,CLM_00057,2,2022-10-24 15:37:00,R-2207,Expert Assessment,,,Documentation supports claim as reported.,P-8859,No,5.0,85.5,Approve,21
REV_00059_1,CLM_00059,1,2023-05-15 10:12:00,R-9908,Initial Triage,49.5,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,1
REV_00059_2,CLM_00059,2,2023-05-22 19:12:00,R-9908,Expert Assessment,,,No anomalies found during review.,P-9806,No,4.3,81.9,Request Additional Documentation,8
REV_00060_1,CLM_00060,1,2023-03-08 11:03:00,R-6466,Initial Triage,19.2,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,10
REV_00061_1,CLM_00061,1,2024-12-10 00:46:00,R-9908,Initial Triage,46.3,Yellow - Standard Review,"Routine processing, no flags raised.",,,,,Standard Review,1
REV_00061_2,CLM_00061,2,2024-12-17 14:46:00,R-9908,Expert Assessment,,,Physical inspection consistent with reported damage.,P-1135,No,4.7,73.1,Approve,8
REV_00062_1,CLM_00062,1,2025-03-20 21:42:00,R-6545,Initial Triage,0.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_00063_1,CLM_00063,1,2022-08-03 06:56:00,R-2957,Initial Triage,23.8,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_00064_1,CLM_00064,1,2022-09-04 17:02:00,R-2512,Initial Triage,31.1,Yellow - Standard Review,"Standard claim, within normal parameters.",,,,,Standard Review,1
REV_00064_2,CLM_00064,2,2022-09-23 10:02:00,R-2512,Expert Assessment,,,Documentation supports claim as reported.,P-9236,Yes,3.4,95.6,Approve,19
REV_00065_1,CLM_00065,1,2024-04-07 20:52:00,R-6545,Initial Triage,14.8,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_00066_1,CLM_00066,1,2024-03-23 13:05:00,R-3644,Initial Triage,0.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,1
REV_00067_1,CLM_00067,1,2025-06-09 12:14:00,R-6387,Initial Triage,8.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,12
REV_00068_1,CLM_00068,1,2025-03-29 01:22:00,R-5059,Initial Triage,51.9,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,1
REV_00068_2,CLM_00068,2,2025-05-19 15:22:00,R-5059,Expert Assessment,,,Physical inspection consistent with reported damage.,P-8309,No,2.4,63.1,Recommend Denial,52
REV_00068_3,CLM_00068,3,2025-06-04 01:22:00,SIU-114,SIU Investigation,,,Financial background check performed.,P-8309,No,,,Claim Settled at Reduced Amount,67
REV_00069_1,CLM_00069,1,2025-09-05 12:39:00,R-8019,Initial Triage,46.1,Orange - Escalated Review,"Verified with third party, consistent account.",,,,,Escalated Review,9
REV_00069_2,CLM_00069,2,2025-09-13 04:39:00,R-8019,Expert Assessment,,,All repair items match incident description.,P-7266,Yes,3.2,65.5,Recommend Denial,16
REV_00069_3,CLM_00069,3,2025-10-15 17:39:00,SIU-115,SIU Investigation,,,Financial background check performed.,P-7266,Yes,,,Claim Denied,48
REV_00070_1,CLM_00070,1,2024-08-15 20:27:00,R-2207,Initial Triage,29.9,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,11
REV_00070_2,CLM_00070,2,2024-08-21 06:27:00,R-2207,Expert Assessment,,,Documentation supports claim as reported.,P-5325,No,3.4,87.0,Approve with Conditions,16
REV_00073_1,CLM_00073,1,2022-07-20 16:12:00,R-6221,Initial Triage,62.1,Red - Full Investigation,Vehicle inspection recommended.,,,,,Full Investigation,6
REV_00073_2,CLM_00073,2,2022-07-23 08:12:00,R-6221,Expert Assessment,,,Documentation supports claim as reported.,P-8545,Yes,4.4,77.9,Approve with Conditions,8
REV_00074_1,CLM_00074,1,2024-12-19 03:04:00,R-5059,Initial Triage,24.5,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_00075_1,CLM_00075,1,2022-04-27 00:10:00,R-7520,Initial Triage,24.1,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_00077_1,CLM_00077,1,2023-12-16 20:40:00,R-6221,Initial Triage,29.8,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,6
REV_00079_1,CLM_00079,1,2023-12-04 02:17:00,R-6221,Initial Triage,0.7,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,2
REV_00080_1,CLM_00080,1,2024-02-21 11:42:00,R-2812,Initial Triage,43.9,Yellow - Standard Review,"Routine processing, no flags raised.",,,,,Standard Review,5
REV_00080_2,CLM_00080,2,2024-02-28 02:42:00,R-2812,Expert Assessment,,,Verified damage with independent assessment.,P-1135,No,4.5,89.6,Approve with Conditions,11
REV_00081_1,CLM_00081,1,2022-12-09 01:01:00,R-8889,Initial Triage,0.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,11
REV_00082_1,CLM_00082,1,2023-05-20 20:02:00,R-1744,Initial Triage,10.6,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,2
REV_00084_1,CLM_00084,1,2025-05-28 10:32:00,R-8889,Initial Triage,27.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,2
REV_00086_1,CLM_00086,1,2023-11-13 11:29:00,R-3260,Initial Triage,67.2,Orange - Escalated Review,"Standard claim, within normal parameters.",,,,,Escalated Review,3
REV_00086_2,CLM_00086,2,2023-11-17 03:29:00,R-3260,Expert Assessment,,,Repair workshop has elevated average claim amounts in our records.,P-6700,Yes,1.3,74.1,Recommend Denial,6
REV_00086_3,CLM_00086,3,2023-11-30 17:29:00,SIU-788,SIU Investigation,,,Coordination with law enforcement initiated.,P-6700,Yes,,,Claim Denied,19
REV_00087_1,CLM_00087,1,2024-01-18 17:28:00,R-5059,Initial Triage,16.8,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,4
REV_00088_1,CLM_00088,1,2025-08-12 03:11:00,R-1744,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_00089_1,CLM_00089,1,2025-05-12 20:38:00,R-8889,Initial Triage,49.7,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,5
REV_00089_2,CLM_00089,2,2025-05-24 10:38:00,R-8889,Expert Assessment,,,No anomalies found during review.,P-4063,No,2.8,91.9,Request Additional Documentation,16
REV_00090_1,CLM_00090,1,2025-06-20 18:43:00,R-2207,Initial Triage,25.8,Yellow - Standard Review,"All documents verified, consistent narrative.",,,,,Standard Review,1
REV_00090_2,CLM_00090,2,2025-06-27 02:43:00,R-2207,Expert Assessment,,,Physical inspection consistent with reported damage.,P-4275,Yes,3.2,88.4,Request Additional Documentation,7
REV_00091_1,CLM_00091,1,2023-08-21 11:55:00,R-8044,Initial Triage,19.3,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,2
REV_00092_1,CLM_00092,1,2024-03-19 04:38:00,R-6221,Initial Triage,0.0,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_00095_1,CLM_00095,1,2023-03-06 09:45:00,R-4718,Initial Triage,31.3,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,7
REV_00095_2,CLM_00095,2,2023-03-19 01:45:00,R-4718,Expert Assessment,,,All repair items match incident description.,P-4275,No,3.6,66.2,Request Additional Documentation,19
REV_00096_1,CLM_00096,1,2024-08-12 15:33:00,R-6387,Initial Triage,25.8,Yellow - Standard Review,"Verified with third party, consistent account.",,,,,Standard Review,5
REV_00096_2,CLM_00096,2,2024-08-25 05:33:00,R-6387,Expert Assessment,,,Documentation supports claim as reported.,P-9787,No,3.4,78.0,Approve with Conditions,17
REV_00099_1,CLM_00099,1,2023-03-24 23:32:00,R-1744,Initial Triage,51.2,Orange - Escalated Review,"Verified with third party, consistent account.",,,,,Escalated Review,1
REV_00099_2,CLM_00099,2,2023-03-29 13:32:00,R-1744,Expert Assessment,,,Physical inspection consistent with reported damage.,P-2350,Yes,4.9,85.1,Approve with Conditions,5
REV_00100_1,CLM_00100,1,2024-09-12 17:32:00,R-6143,Initial Triage,23.1,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,4
REV_00101_1,CLM_00101,1,2023-09-01 10:46:00,R-5059,Initial Triage,51.7,Orange - Escalated Review,Claimant was vague about accident circumstances.,,,,,Escalated Review,3
REV_00101_2,CLM_00101,2,2023-09-08 20:46:00,R-5059,Expert Assessment,,,Physical inspection consistent with reported damage.,P-3597,No,2.9,91.5,Refer to Special Investigations Unit,10
REV_00101_3,CLM_00101,3,2023-09-16 07:46:00,SIU-506,SIU Investigation,,,Coordination with law enforcement initiated.,P-3597,No,,,Claim Approved,17
REV_00102_1,CLM_00102,1,2023-10-09 12:54:00,R-3888,Initial Triage,46.0,Orange - Escalated Review,"Documentation complete, no issues detected.",,,,,Escalated Review,1
REV_00102_2,CLM_00102,2,2023-10-16 00:54:00,R-3888,Expert Assessment,,,All repair items match incident description.,P-6458,No,2.0,98.7,Recommend Denial,7
REV_00102_3,CLM_00102,3,2023-10-22 11:54:00,SIU-804,SIU Investigation,,,Medical records review completed where applicable.,P-6458,Yes,,,Pending Review,13
REV_00104_1,CLM_00104,1,2022-06-03 22:35:00,R-8592,Initial Triage,49.8,Yellow - Standard Review,"Standard claim, within normal parameters.",,,,,Standard Review,3
REV_00104_2,CLM_00104,2,2022-06-16 09:35:00,R-8592,Expert Assessment,,,Verified damage with independent assessment.,P-6700,No,4.2,89.3,Approve with Conditions,15
REV_00107_1,CLM_00107,1,2024-09-02 09:39:00,R-3260,Initial Triage,31.2,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,1
REV_00108_1,CLM_00108,1,2025-01-23 15:15:00,R-3644,Initial Triage,0.0,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_00108_2,CLM_00108,2,2025-02-08 01:15:00,R-3644,Expert Assessment,,,Documentation supports claim as reported.,P-8186,No,4.7,95.2,Approve,17
REV_00109_1,CLM_00109,1,2025-08-22 08:17:00,R-5059,Initial Triage,10.3,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,4
REV_00110_1,CLM_00110,1,2022-06-29 12:59:00,R-2207,Initial Triage,7.8,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,3
REV_00111_1,CLM_00111,1,2023-03-15 12:47:00,R-6466,Initial Triage,28.9,Green - Proceed,"All documents verified, consistent narrative.",,,,,Proceed,1
REV_00111_2,CLM_00111,2,2023-04-06 01:47:00,R-6466,Expert Assessment,,,Documentation supports claim as reported.,P-9557,Yes,3.0,86.2,Request Additional Documentation,22
REV_00112_1,CLM_00112,1,2023-07-30 06:02:00,R-7230,Initial Triage,35.9,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,2
REV_00112_2,CLM_00112,2,2023-08-09 14:02:00,R-7230,Expert Assessment,,,Physical inspection consistent with reported damage.,P-5239,Yes,3.5,83.5,Request Additional Documentation,12
REV_00113_1,CLM_00113,1,2024-12-05 07:10:00,R-6545,Initial Triage,0.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,2
REV_00114_1,CLM_00114,1,2024-08-09 16:40:00,R-3888,Initial Triage,50.1,Orange - Escalated Review,"Documentation complete, no issues detected.",,,,,Escalated Review,5
REV_00114_2,CLM_00114,2,2024-08-12 08:40:00,R-3888,Expert Assessment,,,Verified damage with independent assessment.,P-7936,Yes,3.8,59.1,Refer to Special Investigations Unit,7
REV_00114_3,CLM_00114,3,2024-09-12 17:40:00,SIU-948,SIU Investigation,,,"Surveillance conducted, results in supplementary report.",P-7936,Yes,,,Claim Approved,38
REV_00115_1,CLM_00115,1,2022-02-11 03:56:00,R-6221,Initial Triage,23.4,Green - Proceed,"Standard claim, within normal parameters.",,,,,Proceed,2
REV_00117_1,CLM_00117,1,2025-07-30 00:29:00,R-2812,Initial Triage,69.0,Orange - Escalated Review,"Routine processing, no flags raised.",,,,,Escalated Review,2
REV_00117_2,CLM_00117,2,2025-08-23 13:29:00,R-2812,Expert Assessment,,,Verified damage with independent assessment.,P-6360,Yes,4.4,99.3,Request Additional Documentation,26
REV_00118_1,CLM_00118,1,2024-10-02 21:45:00,R-3691,Initial Triage,33.9,Yellow - Standard Review,Police report not available despite claimant stating it was filed.,,,,,Standard Review,1
REV_00118_2,CLM_00118,2,2024-10-14 05:45:00,R-3691,Expert Assessment,,,Photos metadata timestamp does not match reported accident date.,P-6360,No,2.1,65.0,Refer to Special Investigations Unit,12
REV_00118_3,CLM_00118,3,2024-10-20 15:45:00,SIU-136,SIU Investigation,,,Independent engineering assessment obtained.,P-6360,No,,,Pending Litigation,18
REV_00119_1,CLM_00119,1,2022-03-07 09:27:00,R-6143,Initial Triage,15.9,Green - Proceed,"Verified with third party, consistent account.",,,,,Proceed,1
REV_00120_1,CLM_00120,1,2022-04-04 01:13:00,R-8404,Initial Triage,53.2,Orange - Escalated Review,"Standard claim, within normal parameters.",,,,,Escalated Review,1
REV_00120_2,CLM_00120,2,2022-04-08 14:13:00,R-8404,Expert Assessment,,,Verified damage with independent assessment.,P-4063,Yes,3.1,85.3,Recommend Denial,5
REV_00120_3,CLM_00120,3,2022-04-17 07:13:00,SIU-552,SIU Investigation,,,"Interviewed claimant, witness, and repair shop independently.",P-4063,Yes,,,Claim Denied,13
REV_00122_1,CLM_00122,1,2024-06-15 23:06:00,R-2957,Initial Triage,64.1,Red - Full Investigation,"Verified with third party, consistent account.",,,,,Full Investigation,2
REV_00122_2,CLM_00122,2,2024-06-21 16:06:00,R-2957,Expert Assessment,,,All repair items match incident description.,P-1135,No,2.7,100.0,Approve with Conditions,7
REV_00123_1,CLM_00123,1,2022-12-03 07:03:00,R-8404,Initial Triage,70.8,Orange - Escalated Review,"All documents verified, consistent narrative.",,,,,Escalated Review,5
REV_00123_2,CLM_00123,2,2022-12-08 22:03:00,R-8404,Expert Assessment,,,Insured value significantly exceeds market value of vehicle.,P-9700,Yes,1.0,70.4,Recommend Denial,10
REV_00123_3,CLM_00123,3,2022-12-21 06:03:00,SIU-369,SIU Investigation,,,"Surveillance conducted, results in supplementary report.",P-9700,Yes,,,Claim Approved,22
REV_00124_1,CLM_00124,1,2022-05-05 09:46:00,R-3260,Initial Triage,55.7,Orange - Escalated Review,"Verified with third party, consistent account.",,,,,Escalated Review,3
REV_00124_2,CLM_00124,2,2022-05-07 23:46:00,R-3260,Expert Assessment,,,Verified damage with independent assessment.,P-8259,Yes,2.9,91.7,Refer to Special Investigations Unit,5
REV_00124_3,CLM_00124,3,2022-05-20 11:46:00,SIU-469,SIU Investigation,,,Medical records review completed where applicable.,P-8259,Yes,,,Claim Approved,17
REV_00125_1,CLM_00125,1,2023-03-03 00:26:00,R-9461,Initial Triage,37.0,Green - Proceed,"Routine processing, no flags raised.",,,,,Proceed,4
REV_00126_1,CLM_00126,1,2024-06-08 21:12:00,R-8461,Initial Triage,35.0,Yellow - Standard Review,"Documentation complete, no issues detected.",,,,,Standard Review,3
REV_00126_2,CLM_00126,2,2024-06-24 12:12:00,R-8461,Expert Assessment,,,Physical inspection consistent with reported damage.,P-6516,No,3.3,100.0,Approve with Conditions,18
REV_00127_1,CLM_00127,1,2025-02-15 22:10:00,R-2812,Initial Triage,17.0,Green - Proceed,"Documentation complete, no issues detected.",,,,,Proceed,1
